bird,5434,1341,5472,1408
bird,3080,155,3122,215
bird,3040,2743,3080,2802
bird,3104,2629,3162,2669
bird,3049,344,3090,400
bird,3250,788,3291,844
bird,3117,1098,3160,1151
bird,2833,3285,2869,3348
bird,3035,401,3074,459
bird,3429,1349,3468,1407
bird,3160,2048,3194,2114
bird,2840,3044,2879,3101
bird,3272,3136,3309,3196
bird,3374,2821,3411,2881
bird,4161,3425,4199,3483
bird,3150,1532,3186,1593
bird,3129,1635,3166,1694
bird,3120,447,3159,503
bird,2928,3046,2970,3098
bird,3069,2347,3110,2400
bird,3158,561,3199,614
bird,3113,114,3151,171
bird,3136,1007,3176,1061
bird,3066,3114,3116,3157
bird,3391,2607,3428,2665
bird,3206,2028,3245,2083
bird,3035,2069,3073,2125
bird,3114,2104,3152,2160
bird,3053,883,3091,939
bird,3209,698,3245,757
bird,3193,608,3232,662
bird,3025,2613,3064,2667
bird,2982,337,3021,391
bird,3075,1832,3110,1892
bird,3064,1502,3097,1565
bird,2868,3193,2905,3249
bird,3133,1853,3170,1909
bird,3188,531,3225,587
bird,2891,2608,2926,2667
bird,3212,1899,3255,1947
bird,3158,1475,3194,1532
bird,3178,231,3216,285
bird,4028,3353,4082,3391
bird,3102,2418,3143,2468
bird,3134,189,3168,249
bird,2998,2419,3035,2474
bird,3253,855,3290,910
bird,2936,1962,2973,2017
bird,3196,377,3231,435
bird,3179,1789,3218,1841
bird,2994,744,3036,792
bird,3216,1947,3264,1989
bird,3077,1767,3125,1809
bird,2997,2262,3035,2315
bird,3047,2583,3084,2637
bird,3164,3204,3199,3261
bird,3548,475,3591,521
bird,3138,1762,3176,1814
bird,2972,2693,3009,2746
bird,3075,49,3112,102
bird,2983,2852,3020,2905
bird,3078,1328,3117,1378
bird,3137,57,3176,107
bird,3224,905,3258,962
bird,2890,3339,2931,3386
bird,3316,3498,3355,3547
bird,2924,2573,2960,2626
bird,3237,2433,3271,2489
bird,2997,1959,3053,1993
bird,3040,2668,3078,2718
bird,2845,3382,2880,3436
bird,2954,2607,3005,2644
bird,3114,411,3154,458
bird,3223,1070,3263,1117
bird,3396,2765,3448,2801
bird,2954,2512,2990,2564
bird,3123,2689,3158,2742
bird,3078,1155,3115,1205
bird,3185,1851,3218,1907
bird,3225,2637,3262,2687
bird,4054,3580,4104,3617
bird,3137,680,3171,734
bird,3028,669,3064,720
bird,3194,773,3230,824
bird,3087,1372,3134,1411
bird,2969,2915,3026,2947
bird,2932,585,2967,637
bird,3221,1718,3258,1767
bird,3188,878,3222,931
bird,3288,2715,3322,2768
bird,2939,2458,2975,2508
bird,3043,1125,3072,1186
bird,2985,476,3019,528
bird,3173,2215,3207,2267
bird,3158,0,3213,32
bird,3177,1646,3216,1691
bird,2956,2188,3009,2221
bird,2943,2791,2972,2851
bird,3162,2774,3194,2828
bird,3170,1992,3212,2033
bird,2790,3170,2839,3205
bird,3000,2326,3037,2372
bird,2890,3393,2922,3446
bird,2879,507,2923,545
bird,3230,665,3267,710
bird,3132,2538,3165,2588
bird,3007,2546,3037,2600
bird,3252,1796,3286,1843
bird,3022,2832,3069,2866
bird,3272,2478,3305,2526
bird,3184,483,3215,534
bird,3098,2866,3130,2915
bird,3045,2976,3079,3022
bird,3033,2897,3063,2949
bird,3363,3295,3393,3347
bird,4881,1759,4928,1792
bird,3152,1422,3188,1464
bird,3134,897,3164,947
bird,2934,2652,2972,2691
bird,3127,2888,3158,2935
bird,2872,3602,2905,3646
bird,3301,2847,3330,2897
bird,3038,1191,3076,1229
bird,3082,2624,3112,2672
bird,3003,612,3035,657
bird,3380,3538,3414,3580
bird,3419,2669,3466,2699
bird,3165,934,3208,966
bird,3184,1598,3213,1645
bird,3526,2655,3565,2689
bird,3438,378,3472,416
bird,3250,345,3283,383
bird,3105,2245,3134,2286
bird,3124,3133,3150,3178
bird,3037,1087,3066,1127
bird,3095,566,3131,596
bird,5448,1069,5473,1112
bird,3296,1890,3327,1916
